xx,yy,start_time
-17.75,10.5,'07-09-2019 22:27:05'
-16.75,10.25,'07-09-2019 22:27:07'
-17.5,10.5,'07-09-2019 22:27:11'
-16.75,10.25,'07-09-2019 22:27:13'
-16.25,10,'07-09-2019 22:27:15'
-9.25,8,'07-09-2019 22:27:17'
-9.5,13.25,'07-09-2019 22:27:18'
-17.75,10.25,'07-09-2019 22:27:21'
-14.75,9.25,'07-09-2019 22:27:23'
-17.5,9.75,'07-09-2019 22:27:25'
-2.5,12.75,'07-09-2019 22:27:27'
-6,7.25,'07-09-2019 22:27:29'
-18.5,11.5,'07-09-2019 22:27:31'
-14.75,9.25,'07-09-2019 22:27:33'
-17,10,'07-09-2019 22:27:35'
-14.75,9.25,'07-09-2019 22:27:37'
-14.75,9.25,'07-09-2019 22:27:39'
-17,10.25,'07-09-2019 22:27:41'
-14.75,9.25,'07-09-2019 22:27:43'
-6,7.25,'07-09-2019 22:27:45'
-14.75,9.25,'07-09-2019 22:27:47'
-14.75,9.25,'07-09-2019 22:27:50'
-6,7.25,'07-09-2019 22:27:52'
-14.75,9.25,'07-09-2019 22:27:54'
