xx,yy,start_time
-9,2.75,'07-09-2019 22:24:14'
-9,-1,'07-09-2019 22:24:16'
-8.75,2.5,'07-09-2019 22:24:18'
-8.75,2.25,'07-09-2019 22:24:20'
-8.5,2.25,'07-09-2019 22:24:22'
-12.75,3.25,'07-09-2019 22:24:24'
-12.25,3.25,'07-09-2019 22:24:27'
-9.75,2.5,'07-09-2019 22:24:29'
-9,2.5,'07-09-2019 22:24:31'
-9.5,2,'07-09-2019 22:24:34'
-11.25,6.5,'07-09-2019 22:24:36'
-15.5,5.75,'07-09-2019 22:24:41'
-16,6.25,'07-09-2019 22:24:43'
-15.5,6,'07-09-2019 22:24:45'
-10.5,6.25,'07-09-2019 22:24:47'
-16.25,6.75,'07-09-2019 22:24:49'
-15,7.5,'07-09-2019 22:24:52'
-11.5,7.25,'07-09-2019 22:24:53'
-9.5,2.25,'07-09-2019 22:24:55'
-9.75,2.5,'07-09-2019 22:24:57'
-9.5,2.25,'07-09-2019 22:24:59'
-9.25,2.5,'07-09-2019 22:25:01'
-9,2.25,'07-09-2019 22:25:03'
-11,5.25,'07-09-2019 22:25:04'
-11.75,6.5,'07-09-2019 22:25:06'
-9.25,2.75,'07-09-2019 22:25:08'
-10.75,6.5,'07-09-2019 22:25:10'
-15.5,5.75,'07-09-2019 22:25:12'
-11.25,7,'07-09-2019 22:25:14'
-16,8,'07-09-2019 22:25:16'
-9.5,2.5,'07-09-2019 22:25:18'
-9.75,2.5,'07-09-2019 22:25:20'
-9.75,3,'07-09-2019 22:25:22'
-10,2.75,'07-09-2019 22:25:24'
-17.5,9.25,'07-09-2019 22:25:28'
-9.5,2.25,'07-09-2019 22:25:30'
-10,2.25,'07-09-2019 22:25:33'
-9.75,2.5,'07-09-2019 22:25:35'
-14.5,5.5,'07-09-2019 22:25:37'
-10,2.5,'07-09-2019 22:25:39'
-10.25,2.5,'07-09-2019 22:25:41'
-9.25,2.75,'07-09-2019 22:25:43'
-9.75,2.25,'07-09-2019 22:25:45'
-10,2.75,'07-09-2019 22:25:47'
-10.5,3,'07-09-2019 22:25:54'
-10.25,3,'07-09-2019 22:25:56'
-9.5,3,'07-09-2019 22:25:58'
-9.75,2.5,'07-09-2019 22:26:00'
-10.25,3,'07-09-2019 22:26:01'
-12,5,'07-09-2019 22:26:03'
-11,6.5,'07-09-2019 22:26:05'
-13.5,3.5,'07-09-2019 22:26:07'
-8.5,2.25,'07-09-2019 22:26:09'
-13.25,4,'07-09-2019 22:26:11'
-8.25,2.25,'07-09-2019 22:26:14'
-9.25,2.5,'07-09-2019 22:26:18'
-9.5,2.75,'07-09-2019 22:26:20'
-3.5,4,'07-09-2019 22:26:22'
-13.25,3.5,'07-09-2019 22:26:24'
-7.75,15.5,'07-09-2019 22:26:27'
-9.25,2.25,'07-09-2019 22:26:31'
-14.75,7.25,'07-09-2019 22:26:33'
-9.25,3,'07-09-2019 22:26:36'
-9.5,2.75,'07-09-2019 22:26:40'
-12,6.25,'07-09-2019 22:26:42'
-10.25,2.5,'07-09-2019 22:26:44'
-10,2.5,'07-09-2019 22:26:46'
-0.75,11,'07-09-2019 22:26:50'
-9.75,2.25,'07-09-2019 22:26:53'
-12,0.5,'07-09-2019 22:26:55'
-10.5,5,'07-09-2019 22:26:59'
-13,3.25,'07-09-2019 22:27:01'
-14.5,5,'07-09-2019 22:27:05'
-13.75,6.25,'07-09-2019 22:27:07'
-14.5,5,'07-09-2019 22:27:11'
-14.75,6.5,'07-09-2019 22:27:13'
-9.75,3.25,'07-09-2019 22:27:15'
-5.5,12,'07-09-2019 22:27:17'
-5.75,15.25,'07-09-2019 22:27:18'
-14.5,4.5,'07-09-2019 22:27:21'
-10,4.75,'07-09-2019 22:27:23'
-13,2.25,'07-09-2019 22:27:25'
60,50.75,'07-09-2019 22:27:27'
-7.75,1.5,'07-09-2019 22:27:29'
-14.75,7.25,'07-09-2019 22:27:31'
-11.75,6,'07-09-2019 22:27:33'
-9.25,-2.5,'07-09-2019 22:27:35'
-12.5,2.75,'07-09-2019 22:27:37'
-10,2.5,'07-09-2019 22:27:39'
-14.5,6,'07-09-2019 22:27:41'
-13.5,6.5,'07-09-2019 22:27:43'
-5.25,0.75,'07-09-2019 22:27:45'
-9.25,5.25,'07-09-2019 22:27:47'
-8,1.75,'07-09-2019 22:27:50'
-7.75,1.5,'07-09-2019 22:27:52'
-12,3,'07-09-2019 22:27:54'
